,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR’s mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern,Type
49927,2019,Myanmar,MMR,Nepal,NPL,351.0,11.0,0.0,,0.0,0.0,Origin
49930,2019,Somalia,SOM,Nepal,NPL,26.0,0.0,0.0,,0.0,0.0,Origin
49933,2019,Afghanistan,AFG,Netherlands,NLD,5815.0,543.0,0.0,,0.0,0.0,Origin
49996,2019,Myanmar,MMR,Netherlands,NLD,495.0,42.0,0.0,,0.0,0.0,Origin
50012,2019,Somalia,SOM,Netherlands,NLD,13007.0,196.0,0.0,,0.0,0.0,Origin
50016,2019,South Sudan,SSD,Netherlands,NLD,0.0,5.0,0.0,,0.0,0.0,Origin
50017,2019,Syrian Arab Rep.,SYR,Netherlands,NLD,31694.0,3092.0,0.0,,0.0,0.0,Origin
50053,2019,Somalia,SOM,Niger,NER,163.0,65.0,0.0,,0.0,0.0,Origin
50055,2019,South Sudan,SSD,Niger,NER,0.0,5.0,0.0,,0.0,0.0,Origin
50056,2019,Syrian Arab Rep.,SYR,Niger,NER,7.0,0.0,0.0,,0.0,0.0,Origin
50064,2019,Afghanistan,AFG,Nigeria,NGA,5.0,0.0,0.0,,0.0,0.0,Origin
50086,2019,Syrian Arab Rep.,SYR,Nigeria,NGA,263.0,132.0,0.0,,0.0,0.0,Origin
50089,2019,Afghanistan,AFG,Norway,NOR,5108.0,81.0,0.0,,0.0,0.0,Origin
50137,2019,Myanmar,MMR,Norway,NOR,109.0,0.0,0.0,,0.0,0.0,Origin
50150,2019,Somalia,SOM,Norway,NOR,6518.0,40.0,0.0,,0.0,0.0,Origin
50153,2019,South Sudan,SSD,Norway,NOR,17.0,0.0,0.0,,0.0,0.0,Origin
50154,2019,Syrian Arab Rep.,SYR,Norway,NOR,14359.0,252.0,0.0,,0.0,0.0,Origin
50167,2019,Afghanistan,AFG,Nauru,NRU,25.0,5.0,0.0,,0.0,0.0,Origin
50177,2019,Myanmar,MMR,Nauru,NRU,66.0,13.0,0.0,,0.0,0.0,Origin
50180,2019,Somalia,SOM,Nauru,NRU,78.0,10.0,0.0,,0.0,0.0,Origin
50182,2019,Syrian Arab Rep.,SYR,Nauru,NRU,0.0,5.0,0.0,,0.0,0.0,Origin
50184,2019,Afghanistan,AFG,New Zealand,NZL,214.0,31.0,0.0,,0.0,0.0,Origin
50216,2019,Myanmar,MMR,New Zealand,NZL,238.0,0.0,0.0,,0.0,0.0,Origin
50225,2019,Somalia,SOM,New Zealand,NZL,35.0,0.0,0.0,,0.0,0.0,Origin
